province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
northants_hunts,mark_lodge,245,Simon de St Liz,,Northampton,"2nd Tuesday in January, the 3rd Wednesday in March and on the 2nd Tuesday of October",March,https://nhbm.org.uk/lodge-list/
northants_hunts,mark_lodge,471,Lilford,,Thrapston,"2nd Wednesday in February, October and December",February,https://nhbm.org.uk/lodge-list/
northants_hunts,mark_lodge,477,Fitzwilliam,,Peterborough,"4th Thursday in January, March, September and November",November,https://nhbm.org.uk/lodge-list/
northants_hunts,mark_lodge,594,Croyland,,Wellingborough,"2nd Thursday in March, the last Thursday in September and the 2nd Thursday in December",September,https://nhbm.org.uk/lodge-list/
northants_hunts,mark_lodge,607,St Ivo,,St Ives,"4th Wednesday in February, April and October",October,https://nhbm.org.uk/lodge-list/
northants_hunts,mark_lodge,685,Powys,,Kettering,"last Monday in January, March and October",March,https://nhbm.org.uk/lodge-list/
northants_hunts,mark_lodge,752,Steanford,,Stamford,"last Wednesday in March, September and November",September,https://nhbm.org.uk/lodge-list/
northants_hunts,mark_lodge,794,Socrates,,Huntingdon,2nd Tuesday in January and May and 1st Tuesday in October,January,https://nhbm.org.uk/lodge-list/
northants_hunts,mark_lodge,1243,The Graftonian,,Towcester,"2nd Thursday in March, 4th Thursday in May and 2nd Thursday in October",May,https://nhbm.org.uk/lodge-list/
northants_hunts,mark_lodge,1341,Ferrers,,Rushden,4th Tuesday in January and April and 3rd Tuesday in September,January,https://nhbm.org.uk/lodge-list/
northants_hunts,mark_lodge,1346,Northampton Castle,,Northampton,"1st Monday in March, the 2nd Friday in May and the 3rd Tuesday of November",November,https://nhbm.org.uk/lodge-list/
northants_hunts,mark_lodge,1458,Earl of Euston,,St Neots,"4th Friday in February, the 2nd Friday in May and the 4th Friday of November",May,https://nhbm.org.uk/lodge-list/
northants_hunts,mark_lodge,1486,Beneventa,,Daventry,"3rd Wednesday in January, the 4th Wednesday in April and the 3rd Wednesday of November",November,https://nhbm.org.uk/lodge-list/
northants_hunts,mark_lodge,1643,Norman Rolfe,,Peterborough,"2nd Monday in February, April, October and December",February,https://nhbm.org.uk/lodge-list/
northants_hunts,mark_lodge,1645,Rockingham,,Corby,"3rd Thursday in February, 4th Thursday in May and 3rd Thursday in September",September,https://nhbm.org.uk/lodge-list/
northants_hunts,mark_lodge,1871,Ailwyn,,Ramsey,"3rd Saturday in January, 4th Saturday in April and 3rd Saturday in September",April,https://nhbm.org.uk/lodge-list/
northants_hunts,royal_ark_mariner,245,Vikings Lodge,,Northampton,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Northamptonshire_&_Huntingdonshire
northants_hunts,royal_ark_mariner,471,Lilford Lodge,,Thrapston,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Northamptonshire_&_Huntingdonshire
northants_hunts,royal_ark_mariner,477,Powys Lodge,,Peterborough,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Northamptonshire_&_Huntingdonshire
northants_hunts,royal_ark_mariner,594,Admiral Beatty Lodge,,Wellingborough,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Northamptonshire_&_Huntingdonshire
northants_hunts,royal_ark_mariner,607,Great Ouse Lodge,,St Ives (Northants),,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Northamptonshire_&_Huntingdonshire
northants_hunts,royal_ark_mariner,685,Perseverance Lodge,,Kettering,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Northamptonshire_&_Huntingdonshire
northants_hunts,royal_ark_mariner,752,Steanforde Lodge,,Stamford,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Northamptonshire_&_Huntingdonshire
northants_hunts,royal_ark_mariner,794,Socrates Lodge,,Huntingdon,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Northamptonshire_&_Huntingdonshire
northants_hunts,royal_ark_mariner,1243,The Graftonian Lodge,,Towcester,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Northamptonshire_&_Huntingdonshire
northants_hunts,royal_ark_mariner,1341,Ferrers Lodge,,Rushden,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Northamptonshire_&_Huntingdonshire
northants_hunts,royal_ark_mariner,1458,Earl of Euston Lodge,,St Neots,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Northamptonshire_&_Huntingdonshire
northants_hunts,royal_ark_mariner,1645,Forest Lodge,,Corby,,,https://catalogue.wmlmt.org.uk/wiki/Provincial_Grand_Lodge_of_Mark_Master_Masons_of_Northamptonshire_&_Huntingdonshire
