province_code,order,number,name,hall_postcode,hall_town,meets_text,installation_text,source_url
somerset,mark_lodge,102,Else Lodge,,Weston-super-Mare,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,119,Carnarvon Lodge,,Keynsham,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,128,Science Lodge,,Wincanton,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,155,Portal Lodge,,Frome,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,162,William de Irwin Lodge,,Yeovil,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,177,Royal Sussex Lodge,,,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,191,William Long Lodge,,Burnham on Sea,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,348,Fidelity and Unanimity Lodge,,Taunton,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,571,Cerdic Lodge,,Chard,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,697,Exmoor Lodge,,Minehead,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,730,Hallam Lodge,,Clevedon,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,749,Quantock Lodge,,Bridgwater,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,781,Mendip Lodge,,Glastonbury,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,807,Eldon Lodge,,Clevedon,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,967,George,,Yatton,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,1295,Monument Lodge,,Wellington,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,1548,Nailsea Lodge,,Nailsea,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,1608,Somerdale Lodge,,Keynsham,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,1652,Somerset Installed Mark Master Masons Lodge,,Taunton,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,1656,Portcullis Lodge,,Langport,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,1912,Isle of Wedmore Lodge,,Wedmore,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
somerset,mark_lodge,1924,St Andrews Lodge,,Midsomer Norton,,,https://www.somersetmarkmason.co.uk/find-a-lodge-in-somerset/
